date,time_slot,slot_index,G1_kw,G2_kw,G3_kw,G4_kw,G5_kw,G1_kwh,G2_kwh,G3_kwh,G4_kwh,G5_kwh,generation_total_kwh,L1_kw,L2_kw,L3_kw,L4_kw,L5_kw,L1_kwh,L2_kwh,L3_kwh,L4_kwh,L5_kwh,load_total_kwh,contract_transfer_kwh,contract_matched_kwh,storage_plan_kwh,storage_actual_kwh,storage_charge_kwh,storage_discharge_kwh,prev_storage_balance_kwh,end_storage_balance_kwh,transfer_success_kwh,surplus_kwh,node_發電端_kwh,node_儲能餘額_kwh,node_合約數量_kwh,node_儲能_kwh,node_用電端_kwh,node_用電端轉移量_kwh,node_成功匹配_kwh,node_儲能存入_kwh,node_未匹配_kwh,node_餘電_kwh
2026-05-14,00:00,0,5.512,4.04,3.308,2.94,2.568,1.378,1.01,0.827,0.735,0.642,4.592,14.424,12.364,10.304,8.244,6.184,3.606,3.091,2.576,2.061,1.546,12.88,3.601,3.674,0,0,0,0.459,6,6,4.133,0.826,4.592,6,3.674,0.459,12.88,0.459,4.133,0,8.38,0.826
2026-05-14,00:15,1,5.312,3.896,3.188,2.832,2.484,1.328,0.974,0.797,0.708,0.621,4.428,13.912,11.924,9.936,7.948,5.96,3.478,2.981,2.484,1.987,1.49,12.42,3.471,3.542,0,0,0,0.443,6,6,3.985,0.797,4.428,6,3.542,0.443,12.42,0.443,3.985,0,8.081,0.797
2026-05-14,00:30,2,5.312,3.896,3.188,2.832,2.484,1.328,0.974,0.797,0.708,0.621,4.428,13.912,11.924,9.936,7.948,5.96,3.478,2.981,2.484,1.987,1.49,12.42,3.471,3.542,0,0,0,0.443,6,6,3.985,0.797,4.428,6,3.542,0.443,12.42,0.443,3.985,0,8.081,0.797
2026-05-14,00:45,3,3.544,2.596,2.124,1.888,1.656,0.886,0.649,0.531,0.472,0.414,2.952,9.272,7.948,6.624,5.3,3.976,2.318,1.987,1.656,1.325,0.994,8.28,2.315,2.362,0,0,0,0.295,6,6,2.657,0.531,2.952,6,2.362,0.295,8.28,0.295,2.657,0,5.387,0.531
2026-05-14,01:00,4,5.248,3.848,3.148,2.8,2.452,1.312,0.962,0.787,0.7,0.613,4.374,13.668,11.716,9.764,7.812,5.856,3.417,2.929,2.441,1.953,1.464,12.204,3.429,3.499,0,0,0,0.437,6,6,3.936,0.788,4.374,6,3.499,0.437,12.204,0.437,3.936,0,7.918,0.788
2026-05-14,01:15,5,4.784,3.508,2.868,2.552,2.228,1.196,0.877,0.717,0.638,0.557,3.985,12.452,10.676,8.896,7.116,5.336,3.113,2.669,2.224,1.779,1.334,11.119,3.124,3.188,0,0,0,0.399,6,6,3.587,0.717,3.985,6,3.188,0.399,11.119,0.399,3.587,0,7.213,0.717
2026-05-14,01:30,6,5.444,3.992,3.264,2.904,2.54,1.361,0.998,0.816,0.726,0.635,4.536,14.176,12.148,10.124,8.1,6.076,3.544,3.037,2.531,2.025,1.519,12.656,3.556,3.629,0,0,0,0.454,6,6,4.083,0.816,4.536,6,3.629,0.454,12.656,0.454,4.083,0,8.21,0.816
2026-05-14,01:45,7,3.968,2.908,2.38,2.116,1.848,0.992,0.727,0.595,0.529,0.462,3.305,10.328,8.852,7.376,5.9,4.428,2.582,2.213,1.844,1.475,1.107,9.221,2.591,2.644,0,0,0,0.331,6,6,2.975,0.594,3.305,6,2.644,0.331,9.221,0.331,2.975,0,5.982,0.594
2026-05-14,02:00,8,5.18,3.8,3.108,2.764,2.412,1.295,0.95,0.777,0.691,0.603,4.316,13.076,11.208,9.34,7.472,5.6,3.269,2.802,2.335,1.868,1.4,11.674,3.384,3.453,0,0,0,0.432,6,6,3.885,0.776,4.316,6,3.453,0.432,11.674,0.432,3.885,0,7.444,0.776
2026-05-14,02:15,9,5.22,3.828,3.132,2.784,2.432,1.305,0.957,0.783,0.696,0.608,4.349,13.176,11.292,9.412,7.528,5.648,3.294,2.823,2.353,1.882,1.412,11.764,3.409,3.479,0,0,0,0.435,6,6,3.914,0.783,4.349,6,3.479,0.435,11.764,0.435,3.914,0,7.502,0.783
2026-05-14,02:30,10,5.776,4.236,3.468,3.08,2.696,1.444,1.059,0.867,0.77,0.674,4.814,14.584,12.5,10.416,8.332,6.252,3.646,3.125,2.604,2.083,1.563,13.021,3.774,3.851,0,0,0,0.481,6,6,4.332,0.867,4.814,6,3.851,0.481,13.021,0.481,4.332,0,8.304,0.867
2026-05-14,02:45,11,3.744,2.748,2.248,1.996,1.748,0.936,0.687,0.562,0.499,0.437,3.121,9.452,8.104,6.752,5.404,4.052,2.363,2.026,1.688,1.351,1.013,8.441,2.447,2.497,0,0,0,0.312,6,6,2.809,0.562,3.121,6,2.497,0.312,8.441,0.312,2.809,0,5.382,0.562
2026-05-14,03:00,12,5.128,3.764,3.08,2.736,2.392,1.282,0.941,0.77,0.684,0.598,4.275,13.048,11.184,9.32,7.456,5.592,3.262,2.796,2.33,1.864,1.398,11.65,3.352,3.42,0,0,0,0.428,6,6,3.848,0.769,4.275,6,3.42,0.428,11.65,0.428,3.848,0,7.46,0.769
2026-05-14,03:15,13,4.884,3.58,2.932,2.604,2.28,1.221,0.895,0.733,0.651,0.57,4.07,12.42,10.648,8.872,7.1,5.324,3.105,2.662,2.218,1.775,1.331,11.091,3.191,3.256,0,0,0,0.407,6,6,3.663,0.733,4.07,6,3.256,0.407,11.091,0.407,3.663,0,7.102,0.733
2026-05-14,03:30,14,5.336,3.912,3.2,2.844,2.492,1.334,0.978,0.8,0.711,0.623,4.446,13.568,11.632,9.692,7.756,5.816,3.392,2.908,2.423,1.939,1.454,12.116,3.486,3.557,0,0,0,0.445,6,6,4.002,0.8,4.446,6,3.557,0.445,12.116,0.445,4.002,0,7.758,0.8
2026-05-14,03:45,15,5.172,3.792,3.104,2.756,2.412,1.293,0.948,0.776,0.689,0.603,4.309,13.152,11.272,9.396,7.516,5.636,3.288,2.818,2.349,1.879,1.409,11.743,3.378,3.447,0,0,0,0.431,6,6,3.878,0.776,4.309,6,3.447,0.431,11.743,0.431,3.878,0,7.52,0.776
